CO2 Rise Directly Impairs Crop Nutritional Quality,,,,,,,,,,,,,,,,,,,
Data S3: Bootstrapping Results, see Data S4 for details,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"By S.F. ter Haar*, P.M. van Bodegom, and L. Scherer",,,,,,,,,,,,,,,,,,,
"Institute of Environmental Sciences (CML), Leiden University, Leiden, The Netherlands",,,,,,,,,,,,,,,,,,,
*email: s.f.ter.haar@cml.leidenuniv.nl,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
mean,2.5,97.5,power,p-value,m,class,studytype,plottype,element,c3c4,tissue,Family,Genus,Common Name,Species,Cultivar,2.50%,mean%,97.50%
-0.0548,-0.0745,-0.0364,0.0473,0,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,indoor,pot,Mg,C3,fruit,Solanaceae,Solanum,,lycopersicum,Mico-Tom,-7.1793,-5.3326,-3.5745
-0.1055,-0.1377,-0.0744,0.0703,0,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,indoor,pot,Mn,C3,fruit,Solanaceae,Solanum,,lycopersicum,Mico-Tom,-12.864,-10.0126,-7.17
-0.0449,-0.0604,-0.0292,0.0587,0,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,indoor,pot,P,C3,fruit,Solanaceae,Solanum,,lycopersicum,Mico-Tom,-5.8612,-4.3907,-2.8778
-0.0438,-0.075,-0.0133,0.059,0.0051,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,indoor,pot,Zn,C3,fruit,Solanaceae,Solanum,,lycopersicum,Mico-Tom,-7.2257,-4.2855,-1.3212
0.2135,0.1824,0.2447,0.0402,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,B,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,20.0094,23.8003,27.7238
-0.0353,-0.0362,-0.0344,0.0342,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,C,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,-3.5553,-3.4684,-3.3815
0.122,0.012,0.2309,0.0382,0.0069,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Ca,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,1.2072,12.9754,25.9733
0.1937,0.1925,0.1949,0.0404,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Cu,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,21.2277,21.3732,21.5189
0.2623,0.2248,0.3002,0.0404,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Fe,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,25.2072,29.9916,35.0129
-0.0546,-0.0645,-0.0446,0.037,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,K,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,-6.2464,-5.3136,-4.362
-0.0694,-0.1194,-0.0196,0.0629,0.0066,16,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Mg,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,-11.2547,-6.7047,-1.9409
-0.0616,-0.0629,-0.0603,0.0418,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Mo,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,-6.0963,-5.9741,-5.8518
-0.065,-0.084,-0.046,0.036,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,N,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,-8.0569,-6.2933,-4.4958
-0.065,-0.084,-0.046,0.0419,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,N proxy,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,-8.0569,-6.2933,-4.4958
0.0108,-0.0089,0.0303,0.0399,0.281,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,P,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,-0.8861,1.0859,3.0764
0.1545,0.1093,0.1994,0.0398,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,S,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,11.5497,16.7074,22.067
-0.0577,-0.1291,0.0139,0.042,0.0749,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Zn,C3,fruit,Solanaceae,Solanum,,lycopersicum,Teteia,-12.1114,-5.6067,1.3997
0.0006,-0.0158,0.0177,0.9999,0.9486,36,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Ca,C3,tuber,Solanaceae,Solanum,,tuberosum,Bintje,-1.5676,0.06,1.7858
-0.0027,-0.0285,0.0227,0.9645,0.8353,24,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Fe,C3,tuber,Solanaceae,Solanum,,tuberosum,Bintje,-2.8098,-0.2696,2.296
-0.0166,-0.0221,-0.0105,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,K,C3,tuber,Solanaceae,Solanum,,tuberosum,Bintje,-2.1858,-1.6463,-1.0445
-0.0131,-0.0221,-0.0026,1,0.0102,36,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Mg,C3,tuber,Solanaceae,Solanum,,tuberosum,Bintje,-2.1858,-1.3015,-0.2597
0.0016,-0.0023,0.0053,1,0.3899,24,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Mn,C3,tuber,Solanaceae,Solanum,,tuberosum,Bintje,-0.2297,0.1601,0.5314
-0.05,-0.0655,-0.034,1,0,32,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,N,C3,tuber,Solanaceae,Solanum,,tuberosum,Bintje,-6.3401,-4.8771,-3.3428
-0.0528,-0.0666,-0.0376,1,0,36,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,N proxy,C3,tuber,Solanaceae,Solanum,,tuberosum,Bintje,-6.4431,-5.143,-3.6902
-0.0125,-0.0276,0.0024,1,0.1018,36,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,P,C3,tuber,Solanaceae,Solanum,,tuberosum,Bintje,-2.7223,-1.2422,0.2403
-0.0172,-0.0734,0.027,0.6289,0.4274,24,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Zn,C3,tuber,Solanaceae,Solanum,,tuberosum,Bintje,-7.0771,-1.7053,2.7368
-0.0034,-0.0092,0.0028,0.0613,0.2758,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,C,C3,tuber,Solanaceae,Solanum,,tuberosum,Dark Red Norland,-0.9158,-0.3394,0.2804
-0.0454,-0.0972,0.0031,0.0669,0.0751,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Ca,C3,tuber,Solanaceae,Solanum,,tuberosum,Dark Red Norland,-9.2625,-4.4385,0.3105
-0.0231,-0.067,0.0291,0.0569,0.3489,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Cu,C3,tuber,Solanaceae,Solanum,,tuberosum,Dark Red Norland,-6.4805,-2.2835,2.9528
0.0576,-0.0244,0.1442,0.0647,0.1804,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Fe,C3,tuber,Solanaceae,Solanum,,tuberosum,Dark Red Norland,-2.4105,5.9291,15.5115
-0.0291,-0.0638,0.006,0.0647,0.102,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,K,C3,tuber,Solanaceae,Solanum,,tuberosum,Dark Red Norland,-6.1807,-2.8681,0.6018
-0.0187,-0.0515,0.0097,0.0764,0.2457,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Mg,C3,tuber,Solanaceae,Solanum,,tuberosum,Dark Red Norland,-5.0196,-1.8526,0.9747
-0.0152,-0.063,0.0314,0.0679,0.539,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Mn,C3,tuber,Solanaceae,Solanum,,tuberosum,Dark Red Norland,-6.1057,-1.5085,3.1898
-0.1007,-0.1526,-0.0508,0.0704,0.0002,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,N,C3,tuber,Solanaceae,Solanum,,tuberosum,Dark Red Norland,-14.1527,-9.5796,-4.9531
-0.1013,-0.154,-0.0509,0.0665,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,N proxy,C3,tuber,Solanaceae,Solanum,,tuberosum,Dark Red Norland,-14.2728,-9.6338,-4.9626
-0.0358,-0.0669,-0.0069,0.069,0.0208,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,P,C3,tuber,Solanaceae,Solanum,,tuberosum,Dark Red Norland,-6.4711,-3.5167,-0.6876
-0.1113,-0.1489,-0.0781,0.0759,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Zn,C3,tuber,Solanaceae,Solanum,,tuberosum,Dark Red Norland,-13.8345,-10.533,-7.5128
0.1786,0.1434,0.2138,0.0898,0,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,C,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,15.4191,19.5542,23.8375
0.0478,-0.0375,0.1307,0.0969,0.393,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Ca,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,-3.6806,4.8961,13.9626
0.1835,0.1275,0.2391,0.0996,0,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Cu,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,13.5985,20.1415,27.0106
-0.1571,-0.2774,-0.0371,0.0961,0.0397,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Fe,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,-24.2249,-14.5381,-3.642
-0.1459,-0.2532,-0.0375,0.0864,0.0059,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,K,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,-22.3687,-13.5756,-3.6806
-0.1626,-0.324,0.0013,0.0943,0.0943,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Mg,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,-27.675,-15.0069,0.1301
0.1579,0.1063,0.2089,0.0956,0,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Mn,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,11.2155,17.1049,23.2322
-0.1335,-0.2479,-0.0199,0.0908,0.0359,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,N,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,-21.9562,-12.4973,-1.9703
-0.134,-0.2479,-0.0199,0.0913,0.0369,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,N proxy,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,-21.9562,-12.541,-1.9703
-0.0322,-0.0821,0.0185,0.0954,0.394,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Na,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,-7.882,-3.1687,1.8672
0.0048,-0.0244,0.0337,0.0917,0.7775,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Zn,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,-2.4105,0.4812,3.4274
-0.0541,-0.1839,0.0776,0.091,0.3911,12,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,protein,C3,tuber,Solanaceae,Solanum,,tuberosum,Kufri chandramukhi,-16.7981,-5.2663,8.069
-0.0036,-0.0067,-0.0008,0.0677,0.0161,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,C,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-0.6678,-0.3594,-0.08
0.0358,-0.0199,0.0946,0.0584,0.2269,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Ca,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-1.9703,3.6449,9.9219
-0.0436,-0.1219,0.0317,0.0689,0.2664,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Cu,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-11.4763,-4.2663,3.2208
-0.0643,-0.1341,0.0068,0.0715,0.0814,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Fe,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-12.5497,-6.2276,0.6823
-0.023,-0.0351,-0.012,0.0875,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,K,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-3.4491,-2.2738,-1.1928
-0.0402,-0.0753,-0.0109,0.0826,0.0168,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Mg,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-7.2535,-3.9403,-1.0841
-0.0142,-0.0636,0.038,0.0597,0.5941,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Mn,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-6.162,-1.41,3.8731
-0.1611,-0.1919,-0.1313,0.0664,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,N,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-17.4611,-14.8793,-12.3045
-0.1609,-0.1916,-0.1312,0.0678,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,N proxy,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-17.4363,-14.8623,-12.2958
-0.0632,-0.0852,-0.0422,0.0706,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,P,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-8.1671,-6.1244,-4.1322
-0.1734,-0.2229,-0.1258,0.0715,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,pot,Zn,C3,tuber,Solanaceae,Solanum,,tuberosum,Superior,-19.9805,-15.9199,-11.8209
0.0874,0.0463,0.1294,0.0348,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,B,C4,seed,Poaceae,Zea,,mays,Cv34B43,4.7389,9.1333,13.8145
-0.0947,-0.2449,0.0547,0.0402,0.2911,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Ca,C4,seed,Poaceae,Zea,,mays,Cv34B43,-21.7217,-9.0354,5.6224
-0.0647,-0.1355,0.0079,0.0367,0.0674,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Cu,C4,seed,Poaceae,Zea,,mays,Cv34B43,-12.6721,-6.2651,0.7931
-0.0456,-0.0706,-0.0203,0.0386,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Fe,C4,seed,Poaceae,Zea,,mays,Cv34B43,-6.8165,-4.4576,-2.0095
-0.0299,-0.0338,-0.026,0.0368,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,K,C4,seed,Poaceae,Zea,,mays,Cv34B43,-3.3235,-2.9457,-2.5665
-0.1056,-0.109,-0.1022,0.0382,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Mg,C4,seed,Poaceae,Zea,,mays,Cv34B43,-10.327,-10.0216,-9.7151
-0.0976,-0.147,-0.0473,0.0368,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Mn,C4,seed,Poaceae,Zea,,mays,Cv34B43,-13.6706,-9.2988,-4.6199
-0.0317,-0.1139,0.051,0.0355,0.2901,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,N,C4,seed,Poaceae,Zea,,mays,Cv34B43,-10.7653,-3.1203,5.2323
-0.0318,-0.1139,0.051,0.0399,0.3026,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,N proxy,C4,seed,Poaceae,Zea,,mays,Cv34B43,-10.7653,-3.13,5.2323
-0.0999,-0.1108,-0.0888,0.0398,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,P,C4,seed,Poaceae,Zea,,mays,Cv34B43,-10.4882,-9.5072,-8.4971
-0.1081,-0.2283,0.0118,0.037,0.0695,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Phyt,C4,seed,Poaceae,Zea,,mays,Cv34B43,-20.4115,-10.2462,1.187
0.0345,-0.007,0.0761,0.0377,0.0713,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,S,C4,seed,Poaceae,Zea,,mays,Cv34B43,-0.6976,3.5102,7.907
-0.1141,-0.1358,-0.0922,0.0381,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Zn,C4,seed,Poaceae,Zea,,mays,Cv34B43,-12.6983,-10.7831,-8.8077
0.0214,-0.0093,0.0525,0.0377,0.068,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,B,C4,seed,Poaceae,Zea,,mays,DKC61-19,-0.9257,2.1631,5.3903
0.0349,0.0087,0.0609,0.0379,0.0035,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Ca,C4,seed,Poaceae,Zea,,mays,DKC61-19,0.8738,3.5516,6.2793
-0.1694,-0.2618,-0.0778,0.0388,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Cu,C4,seed,Poaceae,Zea,,mays,DKC61-19,-23.0335,-15.5829,-7.4851
-0.0895,-0.1382,-0.0408,0.0383,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Fe,C4,seed,Poaceae,Zea,,mays,DKC61-19,-12.9076,-8.5612,-3.9979
-0.0319,-0.0349,-0.0289,0.0385,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,K,C4,seed,Poaceae,Zea,,mays,DKC61-19,-3.4298,-3.1397,-2.8486
-0.0281,-0.0537,-0.0026,0.0374,0.007,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Mg,C4,seed,Poaceae,Zea,,mays,DKC61-19,-5.2284,-2.7709,-0.2597
-0.0759,-0.1226,-0.0284,0.035,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,N,C4,seed,Poaceae,Zea,,mays,DKC61-19,-11.5383,-7.3091,-2.8001
-0.0751,-0.1226,-0.0284,0.0358,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,N proxy,C4,seed,Poaceae,Zea,,mays,DKC61-19,-11.5383,-7.2349,-2.8001
-0.0664,-0.0732,-0.0597,0.0383,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,P,C4,seed,Poaceae,Zea,,mays,DKC61-19,-7.0585,-6.4244,-5.7953
-0.0314,-0.0387,-0.0241,0.0365,0,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Phyt,C4,seed,Poaceae,Zea,,mays,DKC61-19,-3.7961,-3.0912,-2.3812
0.0142,-0.0052,0.0336,0.0368,0.0683,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,S,C4,seed,Poaceae,Zea,,mays,DKC61-19,-0.5187,1.4301,3.4171
-0.0081,-0.0275,0.0113,0.0393,0.2842,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+Tissue+studytypeSimple,outdoor,field,Zn,C4,seed,Poaceae,Zea,,mays,DKC61-19,-2.7125,-0.8067,1.1364
0.0282,-0.0127,0.067,0.0714,0.1787,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,FACE,field,K,C3,BG,Amaranthaceae,Beta,,vulgaris,Impuls,-1.262,2.8601,6.9295
-0.1498,-0.2523,-0.0602,0.0615,0.0018,8,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,FACE,field,Na,C3,BG,Amaranthaceae,Beta,,vulgaris,Impuls,-22.2988,-13.912,-5.8424
0.0629,0.015,0.11,0.2511,0,2,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,FACE,field,K,C3,BG,Amaranthaceae,Beta,,vulgaris,Wiebke,1.5113,6.492,11.6278
-0.2751,-0.2957,-0.2551,0.2562,0,2,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,FACE,field,Na,C3,BG,Amaranthaceae,Beta,,vulgaris,Wiebke,-25.5989,-24.0504,-22.5161
0.1378,0.126,0.149,0.067,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,B,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,13.4282,14.7746,16.0673
-0.0105,-0.0159,-0.005,0.066,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,C,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-1.5774,-1.0445,-0.4988
-0.0655,-0.0732,-0.0581,0.0652,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,Ca,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-7.0585,-6.3401,-5.6444
0.1892,0.1407,0.2428,0.0575,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,Cu,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,15.1079,20.8283,27.4814
-0.3071,-0.3415,-0.2727,0.0443,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,Fe,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-28.9297,-26.4423,-23.8679
-0.0234,-0.0278,-0.0187,0.053,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,K,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-2.7417,-2.3128,-1.8526
-0.1285,-0.1422,-0.1147,0.0626,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,Mg,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-13.2552,-12.0586,-10.8366
0.0488,-0.0537,0.1487,0.047,0.3937,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,Mn,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-5.2284,5.001,16.0325
-0.0145,-0.0225,-0.007,0.068,0.0001,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,N,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-2.2249,-1.4395,-0.6976
-0.0144,-0.0222,-0.007,0.0696,0.0001,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,N proxy,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-2.1955,-1.4297,-0.6976
-0.1453,-0.1913,-0.0938,0.0565,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,Na,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-17.4115,-13.5237,-8.9535
-0.0357,-0.0474,-0.0238,0.0501,0,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,P,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-4.6294,-3.507,-2.3519
-0.0267,-0.0456,-0.0078,0.051,0.0046,18,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,Zn,C3,AG,Asteraceae,Lactuca,,sativa,Blonde of Paris Batavia,-4.4576,-2.6347,-0.777
0.0011,-0.0039,0.0062,0.0617,0.6182,4,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,C,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,-0.3892,0.1101,0.6219
0.0052,0.0042,0.0062,0.0641,0,4,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,Ca,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,0.4209,0.5214,0.6219
0.6317,0.4445,0.819,0.0646,0,4,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,Fe,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,55.971,88.0805,126.823
-0.0445,-0.0513,-0.0376,0.0591,0,4,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,K,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,-5.0006,-4.3524,-3.6902
0.0069,-0.017,0.0312,0.0593,0.6277,4,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,Mg,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,-1.6856,0.6924,3.1692
-0.0623,-0.0804,-0.0443,0.0591,0,4,c3c4+Family+Genus+Species+Cultivar+element+plottype+tissueAgg+studytype,chamber,pot,N,C3,AG,Asteraceae,Lactuca,,sativa,Mantilla,-7.7253,-6.0399,-4.3333
